lat,lng,startTimeStamp,endTimeStamp,durationSeconds,gid
-73.9857711792,40.6746330261,2017-02-22 19:54:40,2017-02-22 20:48:00,3200.0,360470119001
-74.0029296875,40.6760520935,2017-02-22 20:48:00,2017-02-22 21:11:28,1408.0,360470085002
-73.9860992432,40.6715011597,2017-02-22 21:11:28,2017-02-23 00:32:00,12032.0,360470137002
-74.0042800903,40.6724395752,2017-02-23 00:32:00,2017-02-23 10:57:04,37504.0,360470053001
-73.992729187,40.6642494202,2017-02-23 10:57:04,2017-02-23 11:46:08,2944.0,360470143001
-73.992729187,40.6642494202,2017-02-23 11:46:08,2017-02-23 16:17:04,16256.0,360470143001
-74.0015563965,40.6768760681,2017-02-23 16:17:04,2017-02-23 16:25:36,512.0,360470059002
-73.9980010986,40.7049560547,2017-02-23 16:25:36,2017-02-23 16:34:08,512.0,360610015010
-74.0017166138,40.7276153564,2017-02-23 16:34:08,2017-02-23 18:50:40,8192.0,360610049003
-74.014175415,40.7161331177,2017-02-23 18:50:40,2017-02-23 18:59:12,512.0,360610317032
-74.0033416748,40.6782417297,2017-02-23 18:59:12,2017-02-23 21:07:12,7680.0,360470059002
-73.9914474487,40.666809082,2017-02-23 21:07:12,2017-02-23 23:49:20,9728.0,360470141003
-73.9914703369,40.6643676758,2017-02-23 23:49:20,2017-02-24 14:06:56,51456.0,360470143001
-73.9973754883,40.6702308655,2017-02-24 14:06:56,2017-02-24 14:15:28,512.0,360470119001
-73.9983215332,40.6760520935,2017-02-24 14:15:28,2017-02-24 17:38:08,12160.0,360470077003
-74.0029067993,40.6799354553,2017-02-24 17:38:08,2017-02-24 17:44:32,384.0,360470063002
-73.9941635132,40.7011795044,2017-02-24 17:44:32,2017-02-24 17:55:12,640.0,360470001001
-73.9378356934,40.7236709595,2017-02-24 17:55:12,2017-02-24 17:59:28,256.0,360470449004
-73.8928451538,40.7254447937,2017-02-24 17:59:28,2017-02-24 18:05:52,384.0,360810493022
-73.8430023193,40.7405853271,2017-02-24 18:05:52,2017-02-24 18:14:24,512.0,360810383021
-73.780708313,40.7444000244,2017-02-24 18:14:24,2017-02-24 18:18:40,256.0,360811409022
-73.7585525513,40.743522644,2017-02-24 18:18:40,2017-02-24 18:52:48,2048.0,360811367005
-73.7536315918,40.7343139648,2017-02-24 18:52:48,2017-02-24 19:52:32,3584.0,360811291021
-73.8793640137,40.7458763123,2017-02-24 19:52:32,2017-02-24 21:02:56,4224.0,360810271003
-73.8915023804,40.7490882874,2017-02-24 21:02:56,2017-02-24 21:22:08,1152.0,360810289003
-73.9194488525,40.7363128662,2017-02-24 21:22:08,2017-02-24 21:37:04,896.0,360810235001
-73.9745483398,40.7024497986,2017-02-24 21:37:04,2017-02-24 21:43:28,384.0,360470543001
-73.9869918823,40.7011260986,2017-02-24 21:43:28,2017-02-24 21:49:52,384.0,360470021002
-74.0002746582,40.6899452209,2017-02-24 21:49:52,2017-02-24 22:11:12,1280.0,360470047001
-73.9906158447,40.6755638123,2017-02-24 22:11:12,2017-02-24 22:21:52,640.0,360470119001
-73.9989013672,40.6759719849,2017-02-24 22:21:52,2017-02-25 02:10:08,13696.0,360470077003
-73.9915390015,40.6643180847,2017-02-25 02:10:08,2017-02-25 14:19:44,43776.0,360470143001
-73.9929885864,40.66929245,2017-02-25 14:19:44,2017-02-25 14:26:08,384.0,360470117001
-73.9809188843,40.680480957,2017-02-25 14:26:08,2017-02-25 16:34:08,7680.0,360470129013
-73.9839859009,40.6761131287,2017-02-25 16:34:08,2017-02-25 16:42:40,512.0,360470119003
-73.9881362915,40.6711006165,2017-02-25 16:42:40,2017-02-25 16:51:12,512.0,360470121001
-73.9913711548,40.6672439575,2017-02-25 16:51:12,2017-02-25 18:46:24,6912.0,360470117002
-73.9970245361,40.6695327759,2017-02-25 18:46:24,2017-02-25 18:50:40,256.0,360470119001
-73.9973068237,40.6840934753,2017-02-25 18:50:40,2017-02-25 19:09:52,1152.0,360470067002
-73.9987487793,40.6762619019,2017-02-25 19:09:52,2017-02-25 19:44:00,2048.0,360470077003
-73.997718811,40.6705589294,2017-02-25 19:44:00,2017-02-25 19:50:24,384.0,360470119001
-73.9914703369,40.6642341614,2017-02-25 19:50:24,2017-02-25 21:54:08,7424.0,360470143001
-73.9882888794,40.6668357849,2017-02-25 21:54:08,2017-02-25 22:02:40,512.0,360470139002
-73.9811706543,40.680480957,2017-02-25 22:02:40,2017-02-25 23:32:16,5376.0,360470127002
-73.9407577515,40.7221107483,2017-02-25 23:32:16,2017-02-25 23:38:40,384.0,360470449003
-73.9188079834,40.7352409363,2017-02-25 23:38:40,2017-02-25 23:49:20,640.0,360810235001
-73.8590545654,40.759853363,2017-02-25 23:49:20,2017-02-26 02:59:12,11392.0,360810373002
-73.8405380249,40.7536010742,2017-02-26 02:59:12,2017-02-26 03:14:08,896.0,360810383021
-73.7476348877,40.7376174927,2017-02-26 03:14:08,2017-02-26 04:13:52,3584.0,360811291042
-73.7565917969,40.7372093201,2017-02-26 04:13:52,2017-02-26 04:24:32,640.0,360811291032
-73.7736129761,40.7687187195,2017-02-26 04:24:32,2017-02-26 05:30:40,3968.0,360811123001
-73.9947738647,40.6645393372,2017-02-26 05:30:40,2017-02-27 00:38:24,68864.0,360470143002
-73.9881896973,40.6627883911,2017-02-27 00:38:24,2017-02-27 00:44:48,384.0,360470149005
-73.9704666138,40.6729011536,2017-02-27 00:44:48,2017-02-27 00:51:12,384.0,360470159001
-73.9425888062,40.6693077087,2017-02-27 00:51:12,2017-02-27 00:55:28,256.0,360470337002
-73.9202728271,40.6692390442,2017-02-27 00:55:28,2017-02-27 01:04:00,512.0,360470361003
-73.8682861328,40.7023582458,2017-02-27 01:04:00,2017-02-27 01:08:16,256.0,360810641021
-73.7915802002,40.7191925049,2017-02-27 01:08:16,2017-02-27 01:14:40,384.0,360810456001
-73.754119873,40.730796814,2017-02-27 01:14:40,2017-02-27 04:11:44,10624.0,360811291023
-73.9419555664,40.7215042114,2017-02-27 04:11:44,2017-02-27 04:18:08,384.0,360470477001
-73.9991760254,40.6915626526,2017-02-27 04:18:08,2017-02-27 04:22:24,256.0,360470047001
-73.9933700562,40.6652183533,2017-02-27 04:22:24,2017-02-27 14:34:40,36736.0,360470143001
-73.997177124,40.6697883606,2017-02-27 14:34:40,2017-02-27 15:04:32,1792.0,360470119001
-73.9987335205,40.6761703491,2017-02-27 15:04:32,2017-02-27 22:41:04,27392.0,360470077003
-73.9946289062,40.6723861694,2017-02-27 22:41:04,2017-02-27 22:53:52,768.0,360470119001
-73.9924621582,40.665687561,2017-02-27 22:53:52,2017-02-28 11:05:36,43904.0,360470141002
-73.9915618896,40.6641654968,2017-02-28 11:05:36,2017-02-28 16:25:36,19200.0,360470143001
-73.9888381958,40.6700172424,2017-02-28 16:25:36,2017-02-28 16:34:08,512.0,360470139004
-73.9831314087,40.6770935059,2017-02-28 16:34:08,2017-02-28 16:40:32,384.0,360470133001
-73.978553772,40.6838531494,2017-02-28 16:40:32,2017-02-28 16:49:04,512.0,360470129011
-73.9812088013,40.6898651123,2017-02-28 16:49:04,2017-02-28 16:53:20,256.0,360470033002
-73.9891052246,40.7042579651,2017-02-28 16:53:20,2017-02-28 16:59:44,384.0,360470021002
-73.9939651489,40.71925354,2017-02-28 16:59:44,2017-02-28 17:06:08,384.0,360610018005
-73.996383667,40.7236480713,2017-02-28 17:06:08,2017-02-28 17:14:40,512.0,360610043001
